nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
3,pentyl ethanoate,C7H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.021.xml,
4,cyclohexanol,C6H12O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.021.xml,
5,cyclohexyl ethanoate,C8H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.021.xml,
1,2-methylaniline,C7H9N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.022.xml,
1,D-fructose,C6H12O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.027.xml,
1,"N-acetyl-L-phenylalanine, ethyl ester",C13H17NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.032.xml,
2,acetyl-L-phenylalanine,C11H13NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.032.xml,
3,((benzyloxy)carbonyl)-L-phenylalanine,C17H17NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.032.xml,
4,"N-acetyl-L-tyrosine, ethyl ester",C13H17NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.032.xml,
5,acetyl-L-tyrosine,C11H13NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.032.xml,
6,N-[(phenylmethoxy)carbonyl]-L-tyrosine,C17H17NO5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.032.xml,
1,2-hydroxyethylammonium formate,C3H9NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
2,2-hydroxyethylammonium acetate,C4H11NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
3,2-hydroxyethylammonium lactate,C5H13NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
4,triethanolammonium acetate,C8H19NO5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
5,triethanolamine lactate,C9H21NO6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
6,2-(2-hydroxyethoxy)ammonium formate,C5H13NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
7,2-(2-aminoethoxy)ethanol acetate,C6H15NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
8,2-(2-hydroxyethoxy)ammonium lactate,C7H17NO5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.031.xml,
2,methyl dodecanoate,C13H26O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.034.xml,
3,methyl tetradecanoate,C15H30O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.034.xml,
1,dibenzo-24-crown-8,C24H32O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.035.xml,
2,"1,4,7,10,13-pentaoxacyclopentadecane",C10H20O5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.035.xml,
3,"2-methyl-3-(3,7,11,15-tetramethyl-2-hexadecenyl)-1,4-naphthoquinone",C31H46O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.035.xml,
2,"butane, 1-(1,1-dimethylethoxy)-",C8H18O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.038.xml,
3,copper dinitrate,CuN2O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.043.xml,
4,nickel chloride (NiCl2),Cl2Ni,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.01.043.xml,
1,dodecanoic acid,C12H24O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.007.xml,
2,tetradecanoic acid,C14H28O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.007.xml,
3,octanoic acid,C8H16O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.007.xml,
1,methanethiol,CH4S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.008.xml,
3,"1,2-cyclohexylenedinitrilotetraacetic acid",C14H22N2O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.008.xml,
1,(-)-3-(N-methylpyrrolidino)pyridine,C10H14N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.016.xml,
1,3-(2-hydroxyethyl)-1-methylimidazolium hexafluorophosphate,C6H11F6N2OP,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.020.xml,
2,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,C6H11BF4N2O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.020.xml,
3,"3-(2-hydroxyethyl)-1-methylimidazolium 1,1,1-trifluoromethanesulfonate",C7H11F3N2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.020.xml,
4,1-(2-hydroxyethyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,C8H11F6N3O5S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.020.xml,
5,dichloromethane,CH2Cl2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.02.020.xml,
3,sodium bromide,BrNa,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.008.xml,
1,silybin,C25H22O10,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.009.xml,
3,N-formylmorpholine,C5H9NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.013.xml,
3,1-hexyl-3-methylimidazolium chloride,C10H19ClN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.021.xml,
1,potassium citrate,C6H5K3O7,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.027.xml,
1,(S)-(+)-naproxen,C14H14O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.029.xml,
3,1-methylethyl tetradecanoate,C17H34O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.03.029.xml,
1,1-ethyl-3-methylimidazolium dimethylphosphate,C8H17N2O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.010.xml,
2,"1-methylethyl 1,1-dimethylethyl ether",C7H16O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.018.xml,
3,"2,2'-oxybisbutane",C8H18O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.018.xml,
3,magnesium chloride,Cl2Mg,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.026.xml,
6,1-docosanol,C22H46O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.027.xml,
1,octamethylcyclotetrasiloxane,C8H24O4Si4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.028.xml,
2,decamethylcyclopentasiloxane,C10H30O5Si5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.04.028.xml,
3,propylcholinium bis{(trifluoromethyl)sulfonyl}imide,C10H20F6N2O5S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.002.xml,
4,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,C11H20F6N2O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.002.xml,
1,1-nitropropane,C3H7NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.017.xml,
3,butyl 2-methyl-2-propenoate,C8H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.018.xml,
4,isobutyl methacrylate,C8H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.018.xml,
2,"1,4-benzenediol",C6H6O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.026.xml,
1,"1,2-hexanediol",C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.029.xml,
2,"1,5-hexanediol",C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.029.xml,
3,"1,6-hexanediol",C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.029.xml,
4,"2,5-hexanediol",C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.029.xml,
2,2-hydroxyethyl acetate,C4H8O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.030.xml,
3,ethylene diacetate,C6H10O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.05.030.xml,
11,pentan-3-one,C5H10O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.06.001.xml,
2,1-methoxy-2-propanol,C4H10O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.06.006.xml,
3,1-methoxy-2-propyl acetate,C6H12O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.06.006.xml,
1,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,C9H10F6N2O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.06.017.xml,
4,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,C34H68F6NO4PS2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.06.017.xml,
1,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,C8H16F6N2O5S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.06.025.xml,
2,propyl vinyl ether,C5H10O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.002.xml,
1,"1,1-difluoroethane",C2H4F2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.010.xml,
1,2-propyn-1-ol,C3H4O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.015.xml,
2,2-thiapropane,C2H6S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.013.xml,
3,2-thiabutane,C3H8S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.013.xml,
5,ethanethiol,C2H6S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.013.xml,
1,sodium diclofenac,C14H10Cl2NNaO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.020.xml,
1,pentaerythritol tetra(2-ethylhexanoate),C37H68O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.029.xml,
2,pentaerythritol tetrapentanoate,C25H44O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.029.xml,
3,pentaerythritol tetraheptanoate,C33H60O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.029.xml,
4,pentaerythritol tetranonanoate,C41H76O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.029.xml,
1,rutin,C27H30O16,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.030.xml,
1,trichlorofluoromethane,CCl3F,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.035.xml,
2,"1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.035.xml,
5,chloroform-d,CDCl3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.035.xml,
1,2-fluoroanisole,C7H7FO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.039.xml,
2,1-bromo-2-methoxybenzene,C7H7BrO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.039.xml,
3,2-propenylbenzene,C9H10,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.039.xml,
4,"1,3-diethenylbenzene",C10H10,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.039.xml,
3,"1H-indene-1,3(2H)-dione, 2-(3-hydroxy-2-quinolinyl)-",C18H11NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.070.xml,
1,ibuprofen,C13H18O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.076.xml,
1,disodium hydrogen phosphate,HNa2O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.07.066.xml,
1,butyl methyl ether,C5H12O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.09.002.xml,
2,ethyl 4-hydroxybenzoate,C9H10O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.09.020.xml,
3,ethyl 4-aminobenzoate,C9H11NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.09.020.xml,
1,1-butyl-3-methylimidazolium iodide,C8H15IN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.004.xml,
5,1-hexyl-3-methylimidazolium iodide,C10H19IN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.004.xml,
9,1-methyl-3-octylimidazolium chloride,C12H23ClN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.004.xml,
1,(.+-.)-serine,C3H7NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.013.xml,
2,DL-threonine,C4H9NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.013.xml,
3,DL-allothreonine,C4H9NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.013.xml,
4,DL-2-amino-4-hydroxybutanoic acid,C4H9NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.013.xml,
4,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,C13H18N2O3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.011.xml,
5,1-butyl-3-methylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,C13H26N2O6S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.011.xml,
7,vinyl propanoate,C5H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.011.xml,
8,1-phenylethyl propionate,C11H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.011.xml,
2,3-methyl-2-butanone,C5H10O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.10.016.xml,
1,pyrene,C16H10,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.11.001.xml,
1,1-naphthyl N-methylcarbamate,C12H11NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.11.012.xml,
3,1-butyl-3-methylimidazolium octyl sulfate,C16H32N2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.11.005.xml,
2,ethyl dodecanoate,C14H28O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.11.014.xml,
1,4-nitrophthalic acid,C8H5NO6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.12.002.xml,
3,"3-nitro-1,2-benzenedicarboxylic acid",C8H5NO6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2007.12.002.xml,
2,"1,3-benzenedicarboxylic acid",C8H6O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.01.014.xml,
3,trisodium phosphate,Na3O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.01.004.xml,
6,"2-(N,N-dimethylamino)ethanol",C4H11NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.01.024.xml,
1,methyl butanoate,C5H10O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
2,methyl pentanoate,C6H12O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
3,methyl hexanoate,C7H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
4,methyl heptanoate,C8H16O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
5,"1,1-dimethylpropyl acetate",C7H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
6,"1,1-dimethylpropyl propanoate",C8H16O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
7,"1,1-dimethylpropyl butanoate",C9H18O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
8,"butyl 2,2-dimethylpropanoate",C9H18O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
9,2-methylpropyl 2-methylpropanoate,C8H16O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
10,"butanoic acid, 2-methyl-, butyl ester",C9H18O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
11,"methyl 3,3-dimethylbutanoate",C7H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.001.xml,
3,4-nitrobenzoic acid,C7H5NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.007.xml,
1,2-(2-hexyloxyethoxy)ethanol,C10H22O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.005.xml,
1,vinyl acetate,C4H6O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.010.xml,
11,"2,3-dimethylbutane",C6H14,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.008.xml,
12,N-cyclohexylpyrrolidinone,C10H17NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.008.xml,
1,betulin,C30H50O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.013.xml,
4,barium chloride,BaCl2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.014.xml,
4,cyclopentanone,C5H8O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.018.xml,
1,2-octanone,C8H16O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.021.xml,
2,potassium dihydrogen citrate,C6H7KO7,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.02.015.xml,
10,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,C10H20F3NO3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.03.011.xml,
11,1-methyl-1-octylpyrrolidinium bis(trifluoromethylsulfonyl)amide,C15H28F6N2O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.03.011.xml,
1,ethylene carbonate,C3H4O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.03.013.xml,
3,"1,2-butylene carbonate",C5H8O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.03.013.xml,
4,glycerine carbonate,C4H6O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.03.013.xml,
1,ethyl 3-oxobutanoate,C6H10O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.03.012.xml,
5,butanoic acid,C4H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.04.014.xml,
6,dimethyl cis-butenedioate,C6H8O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.04.014.xml,
1,"1,4-bis(1,1-dimethylethyl)benzene",C14H22,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.04.016.xml,
2,"1,3,5-tri-tert-butylbenzene",C18H30,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.04.016.xml,
3,"3,5-di-tert-butyltoluene",C15H24,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.04.016.xml,
4,"(1,2,2-trimethylpropyl)benzene",C12H18,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.04.016.xml,
1,sulfur,S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.05.001.xml,
2,iodopropynyl butylcarbamate,C8H12INO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.05.010.xml,
3,phenanthrene,C14H10,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.05.010.xml,
1,chlorotrimethylsilane,C3H9ClSi,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.06.017.xml,
4,dichlorodiethylsilane,C4H10Cl2Si,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.06.017.xml,
3,1-propoxy-2-propanol,C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.06.022.xml,
4,methyl propanoate,C4H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.07.004.xml,
5,1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate,C11H22N2O6S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.07.006.xml,
7,lithium fluoroborate,BF4Li,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.07.006.xml,
2,3.beta.-benzoyloxycholest-5-ene,C34H50O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.07.012.xml,
3,3.beta.-butanoyloxycholest-5-ene,C31H52O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.07.012.xml,
2,dibutyl decanedioate,C18H34O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.08.001.xml,
2,3-phenyl-2-propenoic acid,C9H8O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.009.xml,
3,phenoxyacetic acid,C8H8O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.009.xml,
4,(4-methoxyphenyl)ethanoic acid,C9H10O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.009.xml,
3,(R)-1-methyl-4-(1-methylethenyl)cyclohexene,C10H16,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.011.xml,
4,1-methyl-4-(1-methylethenyl)-7-oxabicyclo[4.1.0]heptane,C10H16O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.011.xml,
3,1-butyl-3-methylpyridinium tetrafluoroborate,C10H16BF4N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.004.xml,
2,pyrrole,C4H5N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.09.019.xml,
3,"erythromycin, 9-[(1-methylethylidene)hydrazone]",C40H73N3O12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.10.016.xml,
9,1-pentene,C5H10,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.10.008.xml,
13,1-pentyne,C5H8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.10.008.xml,
20,N-butyl-4-methylpyridinium tosylate,C17H23NO3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.10.008.xml,
1,"pentaerythritol tetra(3,5-di-tert-butyl-4-hydroxyhydrocinnamate)",C73H108O12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.005.xml,
5,chrysene,C18H12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.006.xml,
7,o-terphenyl,C18H14,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.006.xml,
8,m-terphenyl,C18H14,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.006.xml,
9,p-terphenyl,C18H14,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.006.xml,
2,pentaerythritol tetraoctanoate,C37H68O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.011.xml,
13,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,C13H24F6N2O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.013.xml,
1,D-glucose,C6H12O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2008.11.016.xml,
5,1-chloropropane,C3H7Cl,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.01.010.xml,
1,triisobutylmethylphosphonium p-toluenesulfonate,C20H37O3PS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.01.012.xml,
1,N-(4-ethoxyphenyl)ethanamide,C10H13NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.001.xml,
3,N-(4-bromophenyl)acetamide,C8H8BrNO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.001.xml,
2,"3,3-dimethyl-2-butanone",C6H12O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.01.016.xml,
3,"2,2-dimethyl-1-propanol",C5H12O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.01.016.xml,
1,3-methylthiophene,C5H6S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.010.xml,
5,"2,4,4-trimethyl-1-pentene",C8H16,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.010.xml,
2,1-ethyl-1H-imidazole,C5H8N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.011.xml,
3,trimethyl orthophosphate,C3H9O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.011.xml,
4,ethyl phosphate,C6H15O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.011.xml,
5,tributyl phosphate,C12H27O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.011.xml,
9,"1,3-diethyl-1H-imidazol-3-ium diethyl phosphate",C11H23N2O4P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.02.011.xml,
1,(+)-Simvastatin,C25H38O5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.03.006.xml,
7,1-methylpropyl ethanoate,C6H12O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.03.006.xml,
3,sodium thiocyanate,CNNaS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.03.002.xml,
4,sodium iodide,INa,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.03.002.xml,
3,"3,7-dimethyl-1,6-octadiene",C10H18,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.03.017.xml,
4,N-methylformamide,C2H5NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.03.012.xml,
1,"N,N,N',N'-tetramethyl-1,2-diaminoethane",C6H16N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.fluid.2009.04.006.xml,
